iter	RMSE
0	76252023.5
1	73781068.52
2	71534625.93
3	69443707.51
4	67541001.25
5	66023823.45
6	64415590.68
7	62825711.8
8	61673114.65
9	60383334.09
10	59079465.37
11	57891222.14
12	56872264.85
13	55967208.81
14	54912028.55
15	54040818.81
16	53240147.84
17	52554965.11
18	51901508.17
19	51208227.91
20	50696909.2
21	50136134.55
22	49719909.17
23	49200038.58
24	48758597.05
25	48348170.57
26	47923641.47
27	47579843.62
28	47214496.78
29	46993057.44
30	46719514.29
31	46419484.8
32	46131681.88
33	45895996.68
34	45662919.17
35	45463844.01
36	45298088.42
37	45130510.56
38	45009010.28
39	44799069.39
40	44569245.67
41	44411221.47
42	44193839.79
43	44028765.83
44	43888601.43
